
Все фоновые задания выполнены

=== ОТЧЕТ О РАБОТЕ ПАРАЛЛЕЛЬНЫХ ПОТОКОВ ===

1. ОБЩАЯ ИНФОРМАЦИЯ
   - Дата и время начала: 25.11.2025 07:59:57
   - Дата и время окончания: 25.11.2025 08:12:37
   - Общая длительность: 760,00 сек
   - Базовое количество потоков (N): 6
   - Общее количество созданных потоков: 859
   - Средний вес договоров: 18,60
   - Целевой вес потока (Q1 + 1.5×IQR): 15,50
   - Общее количество договоров: 1546
   - Общее количество задач: 28757

2. РАСПРЕДЕЛЕНИЕ ПОТОКОВ
   Номер |   Вес |  Кол-во | Время запуск | Время завершени | Длительность | Статус    
     250 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     251 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     252 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     253 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     254 |    20 |       1 | 08:10:16     | 08:10:20        |     4,00 сек | Успешно   
     255 |    20 |       1 | 08:10:16     | 08:10:21        |     5,00 сек | Успешно   
     256 |    20 |       1 | 08:10:16     | 08:10:21        |     5,00 сек | Успешно   
     257 |    20 |       1 | 08:10:16     | 08:10:21        |     5,00 сек | Успешно   
     258 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     259 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     260 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     261 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     262 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     263 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     264 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     265 |    20 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     266 |    19 |       1 | 08:10:20     | 08:10:24        |     4,00 сек | Успешно   
     267 |    19 |       1 | 08:10:21     | 08:10:24        |     3,00 сек | Успешно   
     268 |    19 |       1 | 08:10:21     | 08:10:24        |     3,00 сек | Успешно   
     269 |    19 |       1 | 08:10:21     | 08:10:24        |     3,00 сек | Успешно   
     270 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     271 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     272 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     273 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     274 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     275 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     276 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     277 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     278 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     279 |    19 |       1 | 08:10:24     | 08:10:27        |     3,00 сек | Успешно   
     280 |    19 |       1 | 08:10:24     | 08:10:28        |     4,00 сек | Успешно   
     281 |    19 |       1 | 08:10:24     | 08:10:28        |     4,00 сек | Успешно   
     282 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     283 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     284 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     285 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     286 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     287 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     288 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     289 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     290 |    19 |       1 | 08:10:27     | 08:10:30        |     3,00 сек | Успешно   
     291 |    19 |       1 | 08:10:27     | 08:10:31        |     4,00 сек | Успешно   
